stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10720,10720,Sand Point Way NE & NE 95th St,Sand Point Way Northeast and Northeast 95th Street,,47.6972351,-122.277443,1,,0,,America/Los_Angeles,1
1073,1073,Olive Way & Boren Ave,Olive Way and Boren Avenue,,47.6156654,-122.330063,1,,0,,America/Los_Angeles,1
10730,10730,Sand Point Way NE & NE 97th St,Sand Point Way Northeast and Northeast 97th Street,,47.6990929,-122.277634,1,,0,,America/Los_Angeles,1
10750,10750,Sand Point Way NE & NE 103rd St,Sand Point Way Northeast and Northeast 103rd Street,,47.7030869,-122.277565,1,,0,,America/Los_Angeles,1
10760,10760,Sand Point Way NE & NE 106th St,Sand Point Way Northeast and Northeast One Hundred Sixth Street,,47.7053642,-122.278374,1,,0,,America/Los_Angeles,1
10780,10780,Sand Point Way NE & NE 110th St,Sand Point Way Northeast and Northeast One Hundred Tenth Street,,47.7092285,-122.280212,1,,0,,America/Los_Angeles,1
108,108,E Madison St & 22nd Ave E,East Madison Street and 22nd Avenue East,,47.6181297,-122.30394,1,,0,,America/Los_Angeles,1
10800,10800,Sand Point Way NE & NE 115th St,Sand Point Way Northeast and Northeast 115th Street,,47.7126198,-122.281837,1,,0,,America/Los_Angeles,1
10820,10820,Sand Point Way NE & NE 120th St,Sand Point Way Northeast and Northeast One Hundred Twentieth Street,,47.7160149,-122.283005,1,,0,,America/Los_Angeles,1
10830,10830,Sand Point Way NE & NE 123rd St,Sand Point Way Northeast and Northeast One Hundred Twenty Third Street,,47.717598,-122.283928,1,,0,,America/Los_Angeles,1
10840,10840,NE 125th St & 39th Ave NE,Northeast 125th Street and 39th Avenue Northeast,,47.7192917,-122.28669,1,,0,,America/Los_Angeles,1
1085,1085,Pine St & 9th Ave,Pine Street and 9th Avenue,,47.6133766,-122.332603,21,,0,,America/Los_Angeles,1
10860,10860,NE 125th St & 35th Ave NE,Northeast 125th Street and 35th Avenue Northeast,,47.7193222,-122.291412,1,,0,,America/Los_Angeles,1
10870,10870,NE 125th St & 33rd Ave NE,Northeast 125th Street and 33rd Avenue Northeast,,47.7193375,-122.293205,1,,0,,America/Los_Angeles,1
109,109,E Madison St & 24th Ave E,East Madison Street and 24th Avenue East,,47.6205368,-122.300407,1,,0,,America/Los_Angeles,1
10910,10910,12th Ave NE & NE 47th St,12th Avenue Northeast and Northeast 47th Street,,47.662281,-122.315475,1,,0,,America/Los_Angeles,1
10911,10911,U District Station - Bay 3,You District Station - Bay Three,,47.6612053,-122.313477,1,,0,,America/Los_Angeles,1
10912,10912,15th Ave NE & NE 43rd St,15th Avenue Northeast and Northeast 43rd Street,,47.6593704,-122.312096,1,,0,,America/Los_Angeles,1
10914,10914,15th Ave NE & NE Campus Pkwy,15th Avenue Northeast and Northeast Campus Parkway,,47.6564217,-122.312164,1,,0,,America/Los_Angeles,1
10915,10915,Harvard Ave E & Eastlake Ave E,Harvard Avenue East and Eastlake Avenue East,,47.6499405,-122.321999,1,,0,,America/Los_Angeles,1
10916,10916,Harvard Ave E & Eastlake Ave E,Harvard Avenue East and Eastlake Avenue East,,47.6496201,-122.322205,1,,0,,America/Los_Angeles,1
10917,10917,15th Ave NE & NE 40th St,15th Avenue Northeast and Northeast 40th Street,,47.6548195,-122.31221,1,,0,,America/Los_Angeles,1
10920,10920,Harvard Ave E & E Shelby St,Harvard Avenue East and East Shelby Street,,47.647007,-122.322205,1,,0,,America/Los_Angeles,1
10940,10940,10th Ave E & E Roanoke St,10th Avenue East and East Roanoke Street,,47.6427994,-122.32016,1,,0,,America/Los_Angeles,1
10950,10950,10th Ave E & E Miller St,10th Avenue East and East Miller Street,,47.6411629,-122.32016,1,,0,,America/Los_Angeles,1
10970,10970,10th Ave E & E Newton St,10th Avenue East and East Newton Street,,47.6370277,-122.320183,1,,0,,America/Los_Angeles,1
10990,10990,10th Ave E & E Galer St,10th Avenue East and East Galer Street,,47.6321259,-122.320305,1,,0,,America/Los_Angeles,1
11010,11010,10th Ave E & E Prospect St,10th Avenue East and East Prospect Street,,47.6288223,-122.32032,1,,0,,America/Los_Angeles,1
11011,11011,Broadway  E & E Roy St,Broadway East and East Roy Street,,47.625515,-122.32122,1,,0,,America/Los_Angeles,1
11012,11012,E Aloha St & Broadway  E,East Aloha Street and Broadway East,,47.6267662,-122.320961,1,,0,,America/Los_Angeles,1
11025,11025,Boren Ave & Jefferson St,Boren Avenue and Jefferson Street,,47.6060677,-122.322029,1,,0,,America/Los_Angeles,1
11030,11030,E Roy St & Broadway  E,East Roy Street and Broadway East,,47.625267,-122.320702,1,,0,,America/Los_Angeles,1
11033,11033,Boren Ave & Marion St,Boren Avenue and Marion Street,,47.608429,-122.324188,1,,0,,America/Los_Angeles,1
11035,11035,Boren Ave & Madison St,Boren Avenue and Madison Street,,47.6096344,-122.325294,1,,0,,America/Los_Angeles,1
11040,11040,Broadway  E & E Republican St,Broadway East and East Republican Street,,47.6228943,-122.321014,1,,0,,America/Los_Angeles,1
11050,11050,Broadway  E & E Thomas St,Broadway East and East Thomas Street,,47.6208153,-122.320992,1,,0,,America/Los_Angeles,1
11060,11060,Broadway & E Denny Way - Bay 4,Broadway and East Denny Way - Bay Four,,47.6185379,-122.320946,1,,0,,America/Los_Angeles,1
11070,11070,Broadway & E Pine St,Broadway and East Pine Street,,47.6161919,-122.320923,1,,0,,America/Los_Angeles,1
